,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1183,Toyota Corolla,2017,21000,Petrol,Automatic,First,14.28,1798,138.03,5,1800000
1184,BMW 3,2013,49000,Petrol,Automatic,First,14.59,1997,245.0,5,1900000
1185,Ford Ikon,2007,40000,Petrol,Manual,Third,13.8,1299,70.0,5,110000
1186,Chevrolet Beat,2012,78000,Petrol,Manual,Second,18.6,1199,79.4,5,200000
1187,Toyota Corolla,2012,52000,Diesel,Manual,First,21.43,1364,86.79,5,650000
1188,Mahindra XUV500,2014,65213,Diesel,Manual,First,16.0,2179,140.0,7,944999
1189,Hyundai Xcent,2016,170000,Diesel,Manual,First,24.4,1120,71.0,5,400000
1190,Mercedes-Benz E-Class,2017,36884,Diesel,Automatic,First,13.0,2143,204.0,5,3225000
1191,Hyundai i10,2009,62500,Petrol,Manual,First,20.36,1197,78.9,5,210000
1192,Toyota Corolla,2015,68000,Petrol,Automatic,Second,14.28,1798,138.03,5,975000
1193,Toyota Corolla,2014,40748,Petrol,Manual,First,14.53,1798,138.0,5,630000
1194,Audi Q3,2013,60000,Diesel,Automatic,First,17.32,1968,184.0,5,2100000
1195,Hyundai i20,2014,12400,Diesel,Manual,First,21.9,1396,88.8,5,465000
1196,Mercedes-Benz New,2013,87000,Diesel,Automatic,Second,19.27,2143,167.62,5,1700000
1197,Maruti Ritz,2013,20248,Diesel,Manual,First,21.1,1248,73.9,5,434999
1198,Hyundai Creta,2017,52383,Diesel,Manual,First,19.67,1582,126.2,5,1482000
1199,Jaguar XE,2018,1000,Diesel,Automatic,First,13.6,1999,177.0,5,4000000
1200,Mahindra Xylo,2016,85000,Diesel,Manual,First,14.95,2489,93.7,7,615000
1201,Toyota Innova,2014,47000,Diesel,Manual,First,12.99,2494,100.6,7,1125000
1202,Toyota Camry,2018,17585,Petrol,Automatic,First,19.16,2494,157.7,5,3200000
1203,Audi Q5,2018,32496,Diesel,Automatic,First,13.22,2967,241.4,5,4562000
1204,Maruti Swift,2017,34613,Diesel,Manual,First,28.4,1248,74.0,5,624000
1205,Maruti Ertiga,2015,153000,Diesel,Manual,First,20.77,1248,88.76,7,480000
1206,Maruti Swift,2014,54000,Petrol,Manual,Second,16.1,1197,85.0,5,450000
1207,Hyundai i10,2015,16900,Petrol,Manual,First,20.36,1197,78.9,5,387000
1208,Hyundai i10,2013,62334,Petrol,Manual,First,20.36,1197,78.9,5,275000
1209,Maruti Baleno,2018,23714,Petrol,Manual,First,21.4,1197,83.1,5,657000
1210,Hyundai Accent,2010,52325,Petrol,Manual,First,16.36,1495,93.7,5,200000
1211,Honda Brio,2012,50000,Petrol,Manual,First,19.4,1198,86.8,5,365000
1212,Maruti Swift,2016,55746,Diesel,Manual,First,22.9,1248,74.0,5,695000
1213,Hyundai Xcent,2014,54000,Petrol,Manual,First,20.14,1197,81.86,5,550000
1214,Mahindra XUV500,2013,43000,Diesel,Manual,First,16.0,2179,140.0,7,700000
1215,Mercedes-Benz E-Class,2014,40000,Diesel,Automatic,First,13.0,2143,201.1,5,2400000
1216,Mercedes-Benz New,2016,51944,Diesel,Automatic,First,19.27,2143,170.0,5,3250000
1217,Hyundai i20,2015,46950,Diesel,Manual,First,21.27,1396,88.76,5,645000
1218,Skoda Octavia,2015,23000,Diesel,Automatic,First,19.3,1968,141.0,5,1575000
1219,Honda City,2014,54546,Petrol,Manual,First,17.0,1497,118.0,5,550000
1220,Toyota Fortuner,2015,51535,Diesel,Automatic,First,12.55,2982,168.5,7,1903000
1221,Audi Q3,2013,45000,Diesel,Automatic,First,17.32,1968,184.0,5,1525000
1222,Maruti Alto,2012,46004,Petrol,Manual,First,20.92,998,67.1,5,240000
1223,Tata Indigo,2011,124000,Diesel,Manual,First,23.03,1396,69.0,5,229999
1224,Audi A4,2014,77395,Diesel,Automatic,First,17.11,1968,174.33,5,1435000
1225,Maruti Alto,2018,10600,CNG,Manual,First,33.44,796,40.3,4,350000
1226,Honda City,2018,22974,Petrol,Automatic,First,18.0,1497,117.3,5,1197000
1227,Toyota Fortuner,2015,65012,Diesel,Manual,First,14.24,2755,174.5,7,1889999
1228,Hyundai Grand,2017,17125,Petrol,Manual,First,18.9,1197,82.0,5,540000
1229,Maruti Eeco,2015,90413,Petrol,Manual,First,15.1,1196,73.0,7,295000
1230,Volkswagen Polo,2013,37000,Petrol,Manual,First,16.47,1198,73.9,5,509999
1231,Maruti Wagon,2006,65000,Petrol,Manual,First,18.9,1061,67.0,5,150000
1232,Honda City,2011,66000,Petrol,Manual,First,17.0,1497,118.0,5,490000
1233,Honda Civic,2010,86000,Petrol,Manual,First,14.8,1799,130.2,5,290000
1234,Honda City,2005,98437,Petrol,Manual,First,13.0,1493,100.0,5,114999
1235,Hyundai i20,2010,18000,Petrol,Manual,First,18.5,1197,80.0,5,229999
1236,Hyundai Grand,2018,35070,Diesel,Manual,First,24.0,1120,70.0,5,599000
1237,Volkswagen Vento,2011,42000,Petrol,Automatic,Third,14.4,1598,103.6,5,340000
1238,Hyundai i10,2009,40000,Petrol,Manual,First,20.36,1197,78.9,5,170000
1239,Hyundai i20,2009,43000,Petrol,Manual,First,17.0,1197,80.0,5,199000
1240,Chevrolet Beat,2012,65000,Petrol,Manual,First,18.6,1199,79.4,5,250000
1241,Volkswagen Polo,2013,74000,Diesel,Manual,First,22.07,1199,73.9,5,484999
1242,Ford Figo,2010,51192,Petrol,Manual,First,15.6,1196,70.0,5,265000
1243,Audi TT,2014,14262,Petrol,Automatic,First,9.9,1984,207.8,2,2735000
1244,Honda City,2015,66339,Diesel,Manual,Second,25.1,1498,98.6,5,690000
1245,Ford Figo,2013,90200,Diesel,Manual,First,20.0,1399,68.05,5,350000
1246,Toyota Innova,2015,57854,Diesel,Manual,First,12.99,2494,100.6,7,1250000
1247,Maruti Ciaz,2017,32000,Petrol,Automatic,First,19.12,1373,91.1,5,919999
1248,Hyundai Grand,2015,29631,Petrol,Automatic,First,18.9,1197,82.0,5,490000
1249,Ford EcoSport,2014,54173,Petrol,Manual,First,18.88,999,123.24,5,555000
1250,Skoda Octavia,2014,50000,Petrol,Automatic,First,14.7,1798,177.6,5,1350000
1251,Fiat Linea,2010,145000,Diesel,Manual,First,20.4,1248,91.7,5,260000
1252,Maruti Swift,2015,78000,Petrol,Manual,First,16.1,1298,88.2,5,450000
1253,Land Rover,2013,65000,Diesel,Automatic,Second,11.8,2993,180.0,7,3400000
1254,Toyota Innova,2012,120000,Diesel,Manual,First,12.8,2494,102.0,7,1200000
1255,Maruti Swift,2015,14000,Diesel,Manual,First,28.4,1248,74.0,5,525000
1256,Audi A6,2014,57456,Diesel,Automatic,First,17.68,1968,174.33,5,2156000
1257,BMW 5,2012,44450,Diesel,Automatic,First,22.48,1995,190.0,5,2468000
1258,Hyundai i20,2013,63777,Petrol,Manual,First,18.5,1197,82.9,5,367000
1259,BMW X1,2016,31000,Diesel,Automatic,First,17.05,1995,190.0,5,2950000
1260,Toyota Etios,2012,60000,Petrol,Manual,First,17.6,1496,88.73,5,310000
1261,Tata Indigo,2015,78008,Diesel,Manual,First,17.0,1405,70.0,5,290000
1262,Volkswagen Beetle,2009,27078,Petrol,Automatic,First,10.98,1984,114.4,4,1595000
1263,Volkswagen Polo,2011,57275,Diesel,Manual,First,19.7,1598,103.6,5,450000
1264,Hyundai Grand,2014,45000,Diesel,Manual,First,24.0,1120,70.0,5,349000
1265,Maruti Swift,2014,57319,Diesel,Manual,First,25.2,1248,74.0,5,425000
1266,Hyundai Verna,2008,121097,Diesel,Manual,Second,24.0,1396,88.76,5,190000
1267,BMW 5,2011,89000,Diesel,Automatic,First,16.73,1995,218.0,5,1657000
1268,Honda City,2012,72000,Petrol,Manual,First,17.0,1497,118.0,5,575000
1269,Audi A4,2013,36000,Diesel,Automatic,Second,16.55,1968,147.51,5,1400000
1270,Fiat Linea,2013,86000,Diesel,Manual,Second,19.5,1248,75.0,5,250000
1271,Honda City,2002,85000,Petrol,Manual,First,13.0,1343,90.0,5,120000
1272,BMW 3,2013,37613,Diesel,Automatic,First,22.69,1995,190.0,5,1395000
1273,Ford Fiesta,2007,100000,Petrol,Manual,First,16.6,1388,68.0,5,160000
1274,Tata Nano,2016,5240,Petrol,Automatic,First,21.9,624,37.48,4,360000
1275,Maruti Eeco,2018,20000,CNG,Manual,First,15.1,1196,73.0,5,450000
1276,Maruti Ignis,2019,16862,Petrol,Manual,First,20.89,1197,81.8,5,606000
1277,Maruti Swift,2013,59254,Petrol,Manual,Second,17.5,1298,85.8,5,529000
1278,Ford Ecosport,2014,60000,Diesel,Manual,First,22.7,1498,89.84,5,575000
1279,Maruti Swift,2014,47674,Petrol,Manual,First,19.1,1197,85.8,5,572000
1280,Hyundai i10,2014,61517,Petrol,Automatic,First,16.95,1197,78.9,5,438999
1281,Mahindra XUV500,2016,62946,Diesel,Manual,First,15.1,2179,140.0,7,1105000
1282,Hyundai i20,2015,66823,Diesel,Manual,Second,22.54,1396,88.73,5,483000
1283,Maruti Wagon,2013,79494,CNG,Manual,First,33.54,998,67.04,5,296000
1284,Hyundai i20,2012,107000,Diesel,Manual,Second,21.27,1396,88.76,5,450000
1285,BMW 7,2011,55000,Diesel,Automatic,Second,16.46,2993,258.0,5,1950000
1286,Skoda Rapid,2017,24000,Petrol,Automatic,First,14.3,1598,103.52,5,875000
1287,Audi Q7,2016,20002,Diesel,Automatic,First,14.75,2967,245.0,7,6700000
1288,Honda City,2016,54317,Petrol,Manual,First,17.4,1497,117.3,5,840000
1289,Hyundai Xcent,2016,10200,Petrol,Manual,First,19.1,1197,82.0,5,499000
1290,Honda City,2016,24337,Diesel,Manual,First,26.0,1498,98.6,5,818000
1291,Honda Brio,2012,79000,Petrol,Manual,First,18.4,1198,86.8,5,290000
1292,Maruti Ciaz,2015,40500,Diesel,Manual,First,28.09,1248,88.5,5,710000
1293,Maruti Swift,2016,23000,Diesel,Manual,First,26.59,1248,74.0,5,705000
1294,Honda CR-V,2015,63050,Petrol,Automatic,First,11.1,2354,158.8,5,1750000
1295,Toyota Corolla,2008,78000,Petrol,Automatic,Second,14.53,1794,138.1,5,341000
1296,Honda City,2012,66245,Petrol,Manual,First,17.0,1497,118.0,5,568000
1297,Mahindra Scorpio,2007,74112,Diesel,Manual,First,12.05,2179,120.0,9,409999
1298,Skoda Laura,2011,87670,Petrol,Manual,First,13.4,1798,157.8,5,400000
1299,BMW 3,2015,10000,Diesel,Automatic,First,18.88,1995,184.0,5,3000000
1300,Maruti SX4,2007,62493,Petrol,Manual,First,15.0,1586,104.68,5,180000
1301,Maruti Ciaz,2015,44620,Petrol,Manual,First,20.73,1373,91.1,5,693000
1302,Land Rover,2012,66538,Diesel,Automatic,First,10.2,4367,308.0,7,7000000
1303,Toyota Innova,2013,60000,Diesel,Manual,First,12.99,2494,100.0,7,790000
1304,Hyundai Santa,2014,110000,Diesel,Automatic,First,13.01,2199,194.3,7,1440000
1305,Mercedes-Benz New,2011,45000,Petrol,Automatic,Second,11.74,1796,186.0,5,1350000
1306,Maruti Wagon,2014,40000,CNG,Manual,Second,26.6,998,58.16,5,315000
1307,Maruti Alto,2012,49008,Petrol,Manual,First,19.7,796,46.3,5,288000
1308,Maruti Alto,2016,31000,Petrol,Manual,First,24.7,796,47.3,5,215000
1309,Nissan Sunny,2013,8000,Petrol,Manual,First,16.95,1498,97.7,5,375000
1310,Maruti Alto,2019,171,Petrol,Manual,First,24.7,796,47.3,5,360000
1311,Maruti Alto,2018,2100,Petrol,Manual,First,24.07,998,67.1,5,360000
1312,Hyundai Grand,2018,20667,Petrol,Automatic,First,18.9,1197,81.86,5,755000
1313,Honda Mobilio,2015,50000,Diesel,Manual,First,24.2,1498,98.6,7,470000
1314,Tata Manza,2010,100030,Diesel,Manual,Second,18.8,1248,90.0,5,160000
1315,Chevrolet Optra,2011,75372,Diesel,Manual,First,16.52,1991,123.7,5,334000
1316,Honda City,2016,60475,Petrol,Automatic,First,18.0,1497,117.3,5,910000
1317,Hyundai Grand,2019,18453,Petrol,Manual,First,18.9,1197,81.86,5,617000
1318,Hyundai Verna,2008,96578,Diesel,Manual,First,22.0,1582,126.2,5,250000
1319,Nissan Micra,2016,31001,Petrol,Manual,First,18.44,1198,75.0,5,300000
1320,Hyundai Verna,2012,65900,Diesel,Manual,First,22.32,1582,126.32,5,575000
1321,Hyundai Creta,2017,26246,Petrol,Manual,First,15.29,1591,121.3,5,1075000
1322,Maruti Wagon,2013,62700,Petrol,Manual,Second,20.51,998,67.04,5,285000
1323,Honda Accord,2008,90000,Petrol,Automatic,First,10.2,2354,180.0,5,650000
1324,Honda City,2016,36000,Petrol,Automatic,First,16.8,1497,118.0,5,944999
1325,Maruti Baleno,2016,46000,Diesel,Manual,First,27.39,1248,74.0,5,675000
1326,Honda City,2017,73003,Diesel,Manual,First,26.0,1498,98.6,5,775000
1327,Hyundai i20,2014,46566,Diesel,Manual,First,22.54,1396,88.76,5,440000
1328,Mercedes-Benz E-Class,2015,41493,Diesel,Automatic,First,13.0,2987,265.0,5,4200000
1329,Nissan Terrano,2014,103788,Diesel,Manual,First,19.01,1461,108.5,5,567000
1330,Renault Duster,2016,45000,Diesel,Automatic,First,19.6,1461,108.45,5,1150000
1331,Maruti Wagon,2009,120000,Petrol,Manual,First,18.9,998,67.1,5,169000
1332,Hyundai Getz,2009,97359,Diesel,Manual,Second,17.1,1493,110.0,5,180000
1333,Maruti Ritz,2016,62000,Petrol,Manual,First,18.5,1197,85.8,5,320000
1334,BMW 5,2019,18373,Diesel,Automatic,First,22.48,1995,187.74,5,4586000
1335,Volkswagen Polo,2016,60453,Petrol,Manual,First,16.47,1198,74.0,5,509999
1336,Ford Figo,2010,69009,Petrol,Manual,Second,15.6,1196,70.0,5,240000
1337,BMW 3,2013,30000,Diesel,Automatic,First,18.88,1995,184.0,5,2200000
1338,Hyundai Verna,2012,70707,Diesel,Manual,First,22.32,1582,126.32,5,428000
1339,Renault Duster,2015,64677,Diesel,Manual,First,20.45,1461,83.8,5,567000
1340,Hyundai Grand,2018,3000,Petrol,Automatic,First,18.9,1197,81.86,5,620000
1341,BMW X1,2013,49000,Diesel,Automatic,Second,17.05,1995,184.0,5,1449000
1342,Maruti Ritz,2010,71000,Diesel,Manual,First,21.1,1248,73.9,5,300000
1343,Hyundai i10,2010,52000,Petrol,Manual,Second,19.81,1086,68.05,5,225000
1344,BMW X5,2016,35659,Diesel,Automatic,First,15.97,2993,258.0,7,4378000
1345,Honda City,2019,5377,Petrol,Manual,First,16.8,1497,116.3,5,1145000
1346,Mahindra Ssangyong,2014,65000,Diesel,Automatic,First,11.18,2696,184.0,7,1050000
1347,Ford Ecosport,2015,92708,Diesel,Manual,First,22.7,1498,89.84,5,748000
1348,Maruti Alto,2010,48105,Petrol,Manual,First,19.7,796,46.3,5,310000
1349,Volkswagen Polo,2011,46759,Petrol,Manual,First,16.47,1198,74.0,5,254999
1350,Volkswagen Polo,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,350000
1351,Volkswagen Polo,2012,35175,Diesel,Manual,First,22.07,1199,73.9,5,259000
1352,Maruti Ertiga,2013,70000,Diesel,Manual,First,20.77,1248,88.8,7,545000
1353,Ford EcoSport,2017,30000,Diesel,Manual,First,22.77,1498,98.59,5,600000
1354,Toyota Innova,2016,66618,Diesel,Automatic,First,11.36,2755,171.5,7,1549000
1355,BMW 5,2010,69300,Petrol,Automatic,Second,10.8,2497,150.0,5,1250000
1356,Maruti Swift,2017,148000,Diesel,Manual,First,23.4,1248,74.0,5,475000
1357,Ford Ecosport,2017,22000,Petrol,Manual,First,18.88,999,123.24,5,785000
1358,Hyundai Verna,2013,75000,Diesel,Manual,First,16.8,1493,110.0,5,600000
1359,Tata Zest,2016,43706,Petrol,Manual,First,17.57,1193,88.7,5,400000
1360,Audi A7,2011,42000,Diesel,Automatic,First,14.4,2967,241.4,5,2875000
1361,Tata Indica,2012,65000,Diesel,Manual,First,22.3,1248,74.0,5,250000
1362,Maruti Swift,2015,76128,Diesel,Manual,First,26.59,1248,74.0,5,550000
1363,Fiat Linea,2010,39852,Petrol,Manual,First,16.0,1368,90.0,5,159000
1364,Hyundai i20,2017,18673,Petrol,Manual,First,18.6,1197,81.83,5,622000
1365,Hyundai EON,2016,11583,Petrol,Manual,First,21.1,814,55.2,5,275000
1366,Mercedes-Benz GLA,2017,50000,Diesel,Automatic,First,17.9,2143,136.0,5,2500000
1367,Maruti Celerio,2014,77000,Petrol,Manual,First,23.1,998,67.04,5,280000
1368,Chevrolet Beat,2014,54890,Petrol,Manual,Second,17.8,1199,76.8,5,245000
1369,Honda Jazz,2016,21000,Petrol,Automatic,First,19.0,1199,88.7,5,635000
1370,BMW 3,2009,58557,Diesel,Automatic,Third,16.07,1995,181.0,5,800000
1371,Renault Duster,2014,70000,Diesel,Manual,First,19.01,1461,108.45,5,825000
1372,Ford Figo,2017,16000,Petrol,Automatic,First,17.01,1499,110.4,5,595000
1373,Toyota Innova,2018,8899,Diesel,Manual,First,13.68,2393,147.8,7,1992000
1374,Chevrolet Beat,2016,83629,Diesel,Manual,First,25.44,936,56.3,5,315000
1375,Volkswagen Polo,2014,35059,Petrol,Automatic,First,17.21,1798,189.0,4,575000
1376,Ford Endeavour,2018,30552,Diesel,Automatic,First,10.91,3198,197.2,7,3244000
1377,Hyundai Verna,2016,44875,Diesel,Automatic,Second,22.32,1582,126.32,5,801000
1378,Ford Figo,2017,25095,Petrol,Manual,First,18.16,1196,86.8,5,648000
1379,Maruti 800,2007,59000,Petrol,Manual,First,16.1,796,37.0,4,75000
1380,Honda City,2014,36000,Diesel,Manual,First,26.0,1498,98.6,5,500000
1381,Mahindra XUV500,2012,37000,Diesel,Manual,First,16.0,2179,140.0,7,775000
1382,Ford Figo,2010,90000,Diesel,Manual,First,20.0,1399,68.0,5,260000
1383,Ford EcoSport,2018,17000,Petrol,Manual,First,17.0,1497,121.36,5,919999
1384,Hyundai i20,2015,42575,Petrol,Manual,First,18.6,1197,81.83,5,505000
1385,Toyota Innova,2012,131000,Diesel,Manual,First,12.99,2494,100.0,7,960000
1386,Renault Duster,2013,74000,Diesel,Manual,First,20.46,1461,83.8,5,550000
1387,Toyota Innova,2013,47234,Diesel,Manual,First,12.99,2494,100.6,8,935000
1388,Honda City,2009,231673,Petrol,Manual,First,17.0,1497,118.0,5,260000
1389,Maruti Alto,2016,10000,Petrol,Manual,First,24.07,998,67.1,5,350000
1390,Nissan Micra,2016,49389,Petrol,Manual,First,19.49,1198,67.04,5,426000
1391,Maruti Celerio,2016,12000,Petrol,Automatic,Second,23.1,998,67.04,5,425000
1392,Mercedes-Benz New,2010,65000,Petrol,Manual,Second,11.7,1796,178.0,5,1175000
1393,Ford Fiesta,2013,177000,Diesel,Manual,First,23.5,1498,88.7,5,350000
1394,Hyundai Verna,2015,89000,Petrol,Manual,First,17.01,1591,121.3,5,750000
1395,Hyundai i20,2009,72000,Petrol,Automatic,Third,15.0,1396,100.0,5,325000
1396,Maruti Swift,2012,49000,Petrol,Manual,First,17.5,1298,85.8,5,490000
1397,Mercedes-Benz New,2014,51355,Diesel,Automatic,First,14.84,2143,170.0,5,2700000
1398,Hyundai Elite,2017,13460,Petrol,Manual,First,18.6,1197,81.86,5,891000
1399,Hyundai Verna,2014,35642,Petrol,Automatic,First,17.01,1591,121.4,5,669000
1400,Chevrolet Cruze,2014,52895,Diesel,Manual,First,17.3,1998,163.7,5,602000
1401,Toyota Corolla,2010,93000,Petrol,Manual,First,14.28,1798,138.03,5,450000
1402,Maruti A-Star,2011,70000,Petrol,Manual,First,19.0,998,66.1,5,200000
1403,Nissan Micra,2012,32048,Diesel,Manual,First,23.08,1461,63.1,5,240000
1404,Tata Nano,2013,4700,Petrol,Manual,First,25.4,624,37.48,4,120000
1405,Maruti Swift,2014,71800,Diesel,Manual,First,23.4,1248,74.0,5,290000
1406,Audi Q3,2016,45000,Diesel,Automatic,First,17.32,1968,184.0,5,2700000
1407,Honda Amaze,2016,15388,Diesel,Manual,First,25.8,1498,98.6,5,750000
1408,Chevrolet Optra,2004,98798,Petrol,Manual,First,14.7,1599,104.0,5,150000
1409,Audi Q5,2016,43000,Diesel,Automatic,First,14.16,1968,174.3,5,3950000
1410,Maruti Ritz,2012,85112,Diesel,Manual,First,23.2,1248,73.94,5,339000
1411,Mahindra Scorpio,2018,37804,Diesel,Manual,First,15.4,2179,120.0,7,1240000
1412,Maruti Ciaz,2014,45000,Diesel,Manual,First,28.09,1248,88.5,5,685000
1413,Toyota Corolla,2011,116000,Diesel,Manual,Second,21.43,1364,138.0,5,575000
1414,Tata Indica,2015,100073,Diesel,Manual,Second,25.0,1396,69.0,5,200000
1415,Maruti 800,2006,165000,Petrol,Manual,First,16.1,796,37.0,4,90000
1416,Volkswagen Polo,2015,22000,Petrol,Manual,First,16.47,1198,74.0,5,380000
1417,Hyundai Elantra,2017,9500,Petrol,Automatic,First,14.62,1999,149.92,5,1635000
1418,Toyota Fortuner,2012,152000,Diesel,Automatic,First,11.5,2982,169.0,7,1650000
1419,Maruti Baleno,2019,17705,Petrol,Manual,First,21.4,1197,83.1,5,869999
1420,Maruti Baleno,2016,12000,Petrol,Manual,First,21.4,1197,83.1,5,610000
1421,Mini Cooper,2013,51000,Diesel,Automatic,First,23.8,1998,112.0,5,2194000
1422,Mercedes-Benz S,2009,42000,Diesel,Automatic,Second,13.0,2987,210.0,5,2200000
1423,Maruti Alto,2015,51000,Petrol,Manual,First,20.92,998,67.1,5,265000
1424,Maruti Swift,2017,42527,Petrol,Manual,First,20.4,1197,81.8,5,527000
1425,Chevrolet Sail,2014,45000,Diesel,Manual,First,22.1,1248,74.0,5,248000
1426,Toyota Innova,2011,70000,Diesel,Manual,First,12.8,2494,102.0,8,600000
1427,Toyota Fortuner,2009,92000,Diesel,Manual,First,11.5,2982,171.0,7,890000
1428,BMW 3,2012,57156,Diesel,Automatic,Second,18.88,1995,184.0,5,1800000
1429,Skoda Octavia,2016,53211,Petrol,Manual,First,16.8,1395,138.02,5,1164000
1430,Toyota Fortuner,2019,80000,Diesel,Manual,First,11.5,2982,171.0,7,899000
1431,Volkswagen Jetta,2009,74000,Diesel,Automatic,First,15.5,1896,105.0,5,525000
1432,Hyundai i20,2011,37000,Diesel,Manual,First,23.0,1396,90.0,5,295000
1433,Tata Manza,2013,64000,Diesel,Manual,Second,21.02,1248,88.76,5,265000
1434,Volkswagen Vento,2013,57197,Petrol,Manual,First,15.04,1598,103.6,5,400000
1435,Hyundai Creta,2016,55000,Diesel,Automatic,First,17.6,1582,126.2,5,1250000
1436,Maruti Ritz,2014,33000,Petrol,Manual,First,21.1,1197,85.8,5,325000
1437,Honda CR-V,2008,70000,Petrol,Manual,First,13.1,1997,141.1,5,400000
1438,Mahindra XUV500,2012,75000,Diesel,Manual,Second,15.1,2179,140.0,7,625000
1439,Volkswagen Ameo,2016,58095,Diesel,Manual,First,21.66,1498,108.62,5,580000
1440,Tata Zest,2015,7445,Petrol,Manual,First,17.57,1193,88.7,5,500000
1441,Jaguar XJ,2016,17652,Diesel,Automatic,First,12.9,2993,270.88,5,5873000
1442,Toyota Corolla,2018,28321,Petrol,Automatic,First,14.28,1798,138.03,5,1748999
1443,Maruti A-Star,2011,69000,Petrol,Manual,Second,19.0,998,66.1,5,195000
1444,Honda Accord,2007,80000,Petrol,Automatic,First,11.1,2354,142.0,5,300000
1445,Hyundai i20,2014,42365,Petrol,Manual,First,17.0,1197,80.0,5,550000
1446,Toyota Fortuner,2013,123000,Diesel,Automatic,First,12.55,2982,168.5,7,1650000
1447,Mercedes-Benz New,2011,40000,Petrol,Automatic,Second,11.74,1796,186.0,5,1450000
1448,Maruti Baleno,2016,30112,Diesel,Manual,First,27.39,1248,74.0,5,779000
1449,Maruti Ertiga,2017,43775,Diesel,Manual,First,20.77,1248,88.76,7,827000
1450,Land Rover,2019,26013,Diesel,Automatic,First,12.65,2993,255.0,5,9707000
1451,Chevrolet Optra,2012,56000,Petrol,Manual,First,12.9,1598,102.5,5,215000
1452,Honda Civic,2008,95000,Petrol,Automatic,Second,12.9,1799,130.0,5,300000
1453,BMW X3,2014,41089,Diesel,Automatic,First,16.09,1995,184.0,5,2879000
1454,Skoda Laura,2011,41988,Diesel,Automatic,First,20.0,1968,138.1,5,545000
1455,Maruti Swift,2013,72486,Diesel,Manual,First,23.4,1248,74.0,5,395000
1456,Volvo V40,2013,92000,Diesel,Automatic,First,23.3,1984,150.0,5,1600000
1457,Maruti Swift,2013,40000,Petrol,Manual,First,17.5,1298,85.8,5,425000
1458,Land Rover,2014,56000,Diesel,Automatic,First,12.7,2179,187.7,5,3450000
1459,Honda Accord,2008,125000,Petrol,Automatic,Third,11.7,2354,177.6,5,260000
1460,Toyota Innova,2017,29219,Diesel,Manual,First,12.99,2494,100.6,8,1348000
1461,Toyota Fortuner,2018,39927,Diesel,Manual,First,12.55,2982,168.5,7,3210000
1462,Honda Jazz,2018,38593,Petrol,Manual,First,18.7,1199,88.7,5,617000
1463,Honda City,2015,32000,Petrol,Manual,First,17.0,1497,118.0,5,550000
1464,Maruti Dzire,2017,28226,Diesel,Automatic,First,28.4,1248,73.75,5,915000
1465,Nissan Sunny,2014,95000,Diesel,Manual,First,21.64,1461,84.8,5,450000
1466,Toyota Innova,2014,194000,Diesel,Manual,First,12.99,2494,100.6,8,1050000
1467,Honda Brio,2016,14821,Petrol,Manual,First,19.4,1198,86.8,5,537000
1468,Volkswagen Vento,2012,52000,Petrol,Manual,First,15.04,1598,103.6,5,545000
1469,Mahindra XUV500,2016,33000,Diesel,Manual,First,16.0,2179,140.0,7,925000
1470,Ford EcoSport,2016,29200,Diesel,Manual,First,23.0,1498,98.96,5,770000
1471,Skoda Yeti,2012,99754,Diesel,Manual,First,17.72,1968,108.49,5,799000
1472,Hyundai i10,2012,49000,Petrol,Manual,First,20.36,1197,78.9,5,300000
1473,Toyota Innova,2005,299322,Diesel,Manual,First,12.8,2494,102.0,8,400000
1474,Tata Zest,2018,38310,Diesel,Manual,First,20.65,1248,88.7,5,669000
1475,Maruti Swift,2014,56000,Diesel,Manual,First,22.9,1248,74.0,5,425000
1476,Skoda Rapid,2017,31300,Diesel,Automatic,First,21.72,1498,108.4,5,1050000
1477,Toyota Innova,2019,11241,Diesel,Manual,First,13.68,2393,147.8,8,2255000
1478,Hyundai Verna,2014,48000,Petrol,Manual,Second,17.01,1591,121.3,5,520000
1479,Honda City,2019,23882,Petrol,Manual,First,17.4,1497,117.3,5,1187000
1480,Honda City,2014,65000,Diesel,Manual,First,26.0,1498,98.6,5,699000
1481,Volkswagen Vento,2011,50000,Diesel,Manual,First,20.54,1598,103.6,5,500000
1482,Audi Q5,2014,25000,Diesel,Automatic,First,12.19,2967,236.0,5,4400000
1483,Maruti Alto,2015,21000,Petrol,Manual,First,22.74,796,47.3,5,279000
1484,Tata Manza,2012,148000,Diesel,Manual,Second,21.12,1248,88.8,5,290000
1485,Hyundai Creta,2016,68000,Petrol,Manual,First,15.29,1591,121.3,5,985000
1486,Mercedes-Benz GL-Class,2014,52000,Diesel,Automatic,First,12.0,2987,224.0,7,4900000
1487,Mahindra Thar,2016,19000,Diesel,Manual,First,16.55,2498,105.0,6,925000
1488,Hyundai Verna,2011,74000,Diesel,Manual,Second,22.32,1582,126.3,5,375000
1489,Ford Aspire,2017,30279,Diesel,Manual,First,26.1,1498,99.0,5,729000
1490,Mini Cooper,2016,20000,Diesel,Automatic,First,20.7,1496,113.98,4,2350000
1491,Maruti Omni,2013,34834,Petrol,Manual,First,14.0,796,35.0,5,260000
1492,Mahindra Verito,2015,90000,Diesel,Manual,Second,21.03,1461,65.0,5,310000
